year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,supply_curve_cost_per_mw,built_capacity,investment_bool
2009,54455,82232,29.994,-101.274,s166,6,1,11648.914591046803,186.0,1
2009,50755,74262,32.131,-100.146,s166,6,2,37016.75575587431,16.68270000000001,1
2009,51936,76538,31.517,-100.62,s166,7,1,11804.190303332056,0.0800000000000125,1
2009,55205,85281,29.24,-100.113,s166,8,1,6211.87487231498,0.03500000000002501,1
2009,49359,71988,32.749,-99.407,s167,2,4,67660.55653037596,162.3,1
2009,49594,72367,32.646,-99.531,s167,3,1,414.3710175132219,200.0,1
2009,50313,73515,32.374,-98.492,s167,3,5,76973.00208504836,30.060000000000002,1
2009,48639,70856,33.07,-98.386,s167,5,1,15532.16486208466,120.0,1
2009,47894,69712,33.355,-98.916,s167,5,2,30520.84639175389,29.939999999999998,1
2009,46874,68202,33.774,-97.625,s167,5,4,60812.69327030108,112.5,1
2009,56289,94801,26.788,-97.601,s174,6,4,91715.40017308098,241.4205,1
2009,56356,96322,26.385,-97.474,s174,6,5,143841.36311163742,121.5729,1
2009,56389,97463,26.083,-97.35,s174,6,5,156399.56447440916,66.0474,1
2009,56232,93662,27.092,-97.487,s174,6,5,166714.06804765153,55.759199999999964,1
2009,55936,90243,28.0,-97.383,s174,7,1,1815.4992289758304,169.7112,1
2009,55934,90241,27.997,-97.625,s174,7,4,76999.98987340966,10.288800000000009,1
2009,14652,28320,44.06100000000001,-95.147,s176,2,1,902874.6443070216,7.387199999999999,1
2009,14979,28701,43.963,-94.995,s176,3,2,538138.1954528079,1.3358999999999988,1
2009,15943,29840,43.67100000000001,-95.152,s176,4,1,-691.4194550364464,100.5,1
2009,15640,29476,43.735,-92.717,s176,4,2,22312.35929403539,100.5,1
2009,15635,29471,43.75,-93.477,s176,4,4,68901.09149569475,99.0,1
2009,15301,29081,43.865,-94.997,s176,4,5,110312.45043287118,51.676199999999994,1
2009,15960,29857,43.63399999999999,-92.57,s176,5,1,35838.63526251295,102.19999999999999,1
2009,15639,29475,43.738,-92.869,s176,5,2,90884.76330243736,131.4970294921875,1
2009,15959,29856,43.637,-92.722,s176,5,2,100765.53656732544,6.3894705078125185,1
2009,16262,30218,43.575,-95.457,s176,5,3,138530.34639847936,11.200000000000003,1
2009,16272,30228,43.562,-93.94,s176,5,4,166210.5538358747,1.2199999999999989,1
2009,15947,29844,43.666,-94.544,s176,5,5,209398.4062535257,57.2265,1
2009,15642,29478,43.728,-92.413,s176,5,5,210092.2560787307,36.8454,1
2009,13391,26807,44.441,-94.064,s176,6,1,91186.93409155056,13.549999999999997,1
2009,15950,29847,43.661,-94.089,s176,6,3,183200.67866702584,1.2999999999999972,1
2009,13702,27187,44.343,-94.067,s176,6,4,194546.8397210684,0.9000000000000057,1
2009,16605,30617,43.43899999999999,-92.581,s177,5,1,23034.02160741464,278.61846064453124,1
2009,16606,30618,43.435,-92.43,s177,5,2,90864.64697525336,15.900000000000006,1
2009,16603,30615,43.446000000000005,-92.884,s177,6,1,17462.477161748116,21.38153935546876,1
2009,16927,30996,43.345,-92.738,s177,6,2,105818.05696913808,0.5,1
2009,21051,35933,42.088,-93.248,s178,5,1,17793.274889927656,247.02165,1
2009,20731,35552,42.188,-93.392,s178,5,1,53807.78527360687,52.978350000000006,1
2009,19781,34410,42.485,-93.678,s178,5,3,93215.5189057362,35.0,1
2009,23349,38584,41.425,-94.596,s180,4,1,29664.798182050425,174.8,1
2009,23347,38582,41.427,-94.889,s180,6,4,168944.1577568283,14.700000000000003,1
2009,15344,29124,43.676,-88.45700000000001,s193,5,1,147427.43692092487,4.400000000000006,1
2009,15023,28745,43.766000000000005,-88.29299999999999,s193,5,2,222610.5107204656,20.728100000000005,1
2009,16308,30264,43.385,-88.493,s193,5,3,253335.08532024705,54.0,1
2009,15345,29125,43.668,-88.306,s193,5,4,267098.70243018,46.9719,1
2009,15664,29500,43.609,-89.074,s193,6,1,61023.499706114846,16.0,1
2009,13732,27217,44.213,-89.46600000000001,s193,6,2,126351.867496475,14.5,1
2009,15985,29882,43.497,-88.78299999999999,s193,6,5,470416.3182388088,0.10000000000000142,1
2009,12542,25694,44.621,-89.88600000000001,s193,7,5,770886.2590927214,0.10000000000000142,1
2009,17899,32152,42.98,-90.35,s194,6,2,130355.13535344932,2.5999999999999943,1
2009,11979,24948,44.712,-87.705,s197,5,5,1865581.732151484,1.5,1
2009,12556,25709,44.50899999999999,-87.579,s197,6,5,1620079.699584261,0.09999999999999964,1
2009,21402,36343,41.837,-88.82700000000001,s199,6,1,-2928.531783048931,80.0,1
2009,21730,36722,41.747,-88.985,s199,6,2,64177.74345525201,217.5,1
2009,21080,35962,41.942,-88.963,s199,6,3,167531.96011550177,89.42399999999999,1
2009,20127,34819,42.255,-89.374,s199,6,3,172545.83050255518,11.076000000000008,1
2009,20438,35198,42.164,-89.53299999999999,s199,6,4,199224.81542154757,2.5,1
2009,22064,37098,41.678,-89.583,s199,7,1,59053.004284076174,76.2,1
2009,23383,38618,41.288,-89.62200000000001,s200,6,2,48138.40885149808,53.0,1
2009,23714,38997,41.198,-89.77799999999999,s200,6,4,137406.8872016361,1.5,1
2009,24714,40132,40.935,-90.532,s200,6,5,160434.69858516916,2.5,1
2009,24717,40135,40.918,-90.097,s200,7,3,160616.70855837013,72.0,1
2009,25387,40895,40.723,-90.115,s200,7,5,216423.8006517768,9.900000000000006,1
2009,29591,45832,39.473,-90.655,s201,7,1,131120.7909302119,1.7000000000000028,1
2009,24050,39378,41.094,-89.64200000000001,s203,6,1,31030.26964646765,150.0,1
2009,27016,42799,40.211,-89.585,s203,7,2,83105.58759374783,100.5,1
2009,23722,39005,41.142,-88.613,s207,7,1,3576.823288637048,150.0,1
2009,25067,40527,40.737,-88.369,s207,7,2,81815.6302369817,102.0,1
2009,23387,38622,41.261,-89.039,s207,7,4,161513.94108881874,49.5,1
2009,22402,37483,41.54600000000001,-88.86,s207,7,5,221324.068089704,10.5,1
2009,26054,41665,40.461,-88.69200000000001,s208,6,1,1912.457792668676,73.68071352539064,1
2009,25729,41286,40.55,-88.537,s208,6,4,97711.12299864976,124.31928647460936,1
2009,25727,41284,40.565,-88.825,s208,6,5,106746.12666567069,122.94536352539062,1
2009,25726,41283,40.573,-88.969,s208,6,5,114886.47038926894,75.05463647460938,1
2009,13144,26484,44.168,-85.31700000000001,s214,5,1,276366.56679629016,59.0,1
2009,11140,23827,44.812,-84.73299999999999,s214,6,5,485442.58335233526,0.17190000000000083,1
2009,11990,24965,44.545,-85.094,s214,7,5,647422.6106450444,1.6281000000000034,1
2009,14080,27640,43.683,-82.95100000000001,s218,6,3,141191.43919014334,93.4821,1
2009,13764,27259,43.793,-83.081,s218,6,3,170540.29602592366,28.317899999999995,1
2009,25405,40914,40.581,-87.37200000000001,s221,6,1,17882.887750266807,100.65000000000003,1
2009,25737,41294,40.484,-87.385,s221,6,2,81241.04168267126,100.0,1
2009,25077,40537,40.651,-86.926,s221,7,1,-2680.216922138079,295.8525,1
2009,25406,40915,40.572,-87.228,s221,7,1,27229.950269373257,240.9975,1
2009,26063,41674,40.387,-87.398,s221,7,2,83928.80513894674,249.0,1
2009,27359,43195,39.989,-87.307,s221,7,4,189673.958821586,50.0,1
2009,20786,35616,41.706,-83.958,s227,7,1,291866.74760669185,1.7999999999999972,1
2009,21769,36763,41.326,-82.99799999999999,s227,7,4,590205.6433947979,3.5999999999999996,1
2009,26724,42454,39.987,-84.569,s228,7,5,645382.3081613573,1.8000000000000007,1
2009,26148,41812,38.12,-121.72,s25,6,1,78622.05524843873,136.7847,1
2009,26147,41811,38.093,-121.855,s25,7,1,45297.969053706925,38.22,1
2009,25824,41432,38.214,-121.758,s25,7,2,82118.30894970882,13.215300000000013,1
2009,25823,41431,38.188,-121.892,s25,7,4,117816.46956576747,111.78,1
2009,25499,41052,38.308,-121.795,s25,7,5,136048.78310431307,78.4647,1
2009,26468,42190,37.973,-121.951,s25,8,4,329591.6961135601,40.6296,1
2009,25825,41433,38.24,-121.623,s25,8,4,537605.4619197815,17.3016,1
2009,26467,42189,37.946,-122.085,s25,8,4,624050.3619290652,3.1104000000000056,1
2009,25496,41049,38.229,-122.198,s25,9,3,187513.9409832033,16.200000000000003,1
2009,26466,42188,37.919,-122.218,s25,9,5,306953.1621898008,9.473599999999998,1
2009,30006,46370,36.934,-121.544,s25,10,1,53536.54371611003,10.617799999999988,1
2009,28089,44091,37.527,-121.631,s25,10,2,180881.1134825168,2.430000000000007,1
2009,24494,39907,38.457,-122.582,s25,10,3,262597.5946139481,3.240000000000002,1
2009,28407,44466,37.3,-122.258,s25,10,4,355310.0749290058,22.14,1
2009,23486,38764,38.657,-123.104,s25,10,5,453673.0054521781,24.42009999999999,1
2009,27415,43252,39.244,-79.257,s250,1,3,286814.09907264024,116.2269,1
2009,27089,42872,39.34,-79.232,s250,5,3,456448.6443868837,100.0,1
2009,27733,43630,39.181,-79.56,s250,6,3,385530.2936509991,66.0,1
2009,28695,44767,38.942,-80.05,s250,7,2,202520.90469246905,47.7731,1
2009,26472,42194,38.077,-121.415,s26,9,3,241415.3927803372,32.4792,1
2009,25501,41054,38.361,-121.526,s26,9,4,341242.8387477186,35.88867059326172,1
2009,25826,41434,38.266,-121.489,s26,9,4,381663.6214283856,28.109129406738276,1
2009,28414,44474,37.511,-121.196,s26,10,4,129001.98267559151,50.93,1
2009,29706,45999,37.259,-120.388,s26,10,5,205311.470559225,49.1103,1
2009,27449,43336,37.845,-121.037,s26,10,5,208639.7252829733,21.654900000000005,1
2009,35211,52853,35.876,-117.946,s28,6,2,668761.002730129,13.6,1
2009,35513,53233,35.781,-117.915,s28,6,3,1031295.2412103424,12.609513830566408,1
2009,34599,52095,36.113,-117.745,s28,10,2,136344.84016769848,0.10000000000002274,1
2009,38704,57280,36.125,-84.398,s281,7,1,169644.95987344507,27.0,1
2009,39002,57658,36.051,-84.68299999999999,s281,8,2,105519.78087166652,0.6999999999999886,1
2009,37490,55763,36.478,-83.927,s281,8,5,299392.83198177983,0.7000000000000028,1
2009,37789,56139,36.429,-84.48299999999999,s281,10,3,494633.51513184345,0.6999999999999993,1
2009,33967,51309,35.677,-121.209,s29,10,5,349236.82192369906,13.187200000000004,1
2009,34902,52471,35.927,-118.239,s30,6,1,1481778187.0424418,0.0486,1
