sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,supply_curve_cost_per_mw
27466,47364,39.007,-88.99600000000001,p81,3,1,1684.94630625,4331.621743183961
26609,46210,39.386,-90.946,p81,3,1,524.9402437499998,5061.556262888549
27745,47744,38.909,-89.006,p81,3,1,1881.539634375,5458.870050742669
30360,51549,37.896,-88.416,p81,3,1,1679.7150984374996,5898.881678555885
27463,47361,39.028,-89.41799999999999,p81,3,1,1014.3387,6516.149912499643
29328,50023,38.331,-89.20700000000001,p81,3,1,1142.77381875,6707.69219208268
28553,48885,38.609,-88.897,p81,3,1,1214.286946875,7056.440307047173
25197,44312,39.863,-90.623,p81,3,1,970.39917421875,7101.263106666016
32234,54207,37.227,-88.76700000000001,p81,3,1,958.249490625,7166.503483368341
29570,50399,38.26,-89.774,p81,3,1,1186.847690625,7369.864689898142
32510,54584,37.151,-89.18799999999999,p81,3,1,1390.2126187499996,7407.822056211646
30351,51540,37.961,-89.663,p81,3,1,1610.44453125,7480.461270292635
30090,51163,38.038,-89.23700000000001,p81,3,1,1197.3956624999996,7554.705679836218
26050,45449,39.587,-91.074,p81,3,1,1273.070671875,7636.07279138492
23461,42031,40.454,-90.718,p81,3,1,1009.9590046875,7795.259845656822
24623,43559,40.016,-89.605,p81,3,1,1206.2185875,8397.25013771602
29074,49637,38.468,-90.035,p81,3,1,1429.443196875,8402.148374509754
31970,53825,37.34,-89.031,p81,3,1,760.23037265625,8584.730707610128
23465,42035,40.431,-90.142,p81,3,1,950.31231328125,8692.203236958709
25193,44308,39.884,-91.194,p81,3,1,1202.47689375,8821.612085054974
29330,50025,38.317,-88.928,p81,3,1,1035.5847468749996,8837.458932735404
29836,50790,38.083,-88.255,p81,3,1,1408.262709375,8978.954621845993
24910,43933,39.955,-90.472,p81,3,2,1715.671884375,9003.952393360973
24913,43936,39.938,-90.04299999999999,p81,3,2,1260.8030953125,9106.025762366857
30628,51931,37.782,-88.15100000000001,p81,3,2,1775.7813515624996,9185.704020175308
22247,40511,40.844,-90.685,p81,3,2,934.82637890625,9546.506614072065
31971,53826,37.333,-88.89399999999999,p81,3,2,816.9949195312498,9547.182991633832
20690,38608,41.346,-91.083,p81,3,2,1453.824196875,9695.460649983544
29571,50400,38.254,-89.635,p81,3,2,1290.8352375,9810.28465605441
32231,54204,37.249,-89.178,p81,3,2,1254.09718125,9870.60474963491
30096,51169,37.994,-88.405,p81,3,2,2076.9568171875,9929.559055446269
30087,51160,38.058,-89.65299999999999,p81,3,2,1868.4283921875,10055.872333595176
30092,51165,38.024,-88.96,p81,3,2,798.31328203125,10383.233295215956
26896,46594,39.267,-90.388,p81,3,2,1486.3296234375,10512.642066332251
29566,50395,38.285,-90.331,p81,3,2,724.5725273437498,10620.939051029696
29569,50398,38.266,-89.913,p81,3,2,1350.156853125,10673.426547919633
30358,51547,37.911,-88.693,p81,3,2,1604.33510625,10816.373918639354
25198,44313,39.858,-90.48,p81,3,2,1161.1779046875,11001.358662123292
