sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,compare,trans_cap_cost
1358,,44.663296,-103.837166,p32,3,,146.38025832264685,1.0048730443703515,182084.94
7241,,40.13082,-105.15819,p33,3,,10.27501217772902,0.8617663192539771,5311.6304
7238,,40.179413,-105.16512,p33,3,,11.391861327482172,0.8617663192539771,5920.7593
6619,,40.497807,-106.88119,p33,3,,27.697858913878225,0.8617663192539771,6162.8916
6620,,40.503376,-106.80943,p33,3,,0.4467396599012617,0.8617663192539771,8411.181
7508,,39.980305,-105.20876,p33,3,,16.305997586396053,0.8617663192539771,10132.098
7507,,39.975548,-105.28006,p33,3,,11.391861327482172,0.8617663192539771,10951.526000000002
6626,,40.6307,-105.0119,p33,3,,5.807615578716402,0.8617663192539771,12092.093
7365,,40.024147,-105.28706,p33,3,,23.9005718047175,0.8617663192539771,15500.972
7367,,40.028904,-105.21572,p33,3,,114.365352934723,0.8617663192539771,65818.08
7363,,40.0775,-105.22268,p33,3,,55.17234799780582,0.8617663192539771,78934.195
7361,,40.07274,-105.29408,p33,3,,36.409282281952834,0.8617663192539771,79834.16
6624,,40.62605,-105.08393999999998,p33,3,,44.45059616017554,0.8617663192539771,152063.22
6975,,40.378468,-105.12121,p33,3,,69.69138694459683,0.8617663192539771,160414.78
6848,,40.47563,-105.13508,p33,3,,42.21689786066923,0.8617663192539771,186242.78
6850,,40.480312,-105.06322,p33,3,,50.92832122874383,0.8617663192539771,188881.14
6731,,40.52421,-105.14203,p33,3,,55.39571782775645,0.8617663192539771,199201.2
6735,,40.528893,-105.070114,p33,3,,44.003856500274274,0.8617663192539771,201657.45
6730,,40.572790000000005,-105.148994,p33,3,,99.1762044980801,0.8617663192539771,212181.48
6732,,40.577473,-105.07702,p33,3,,46.90766428963248,0.8617663192539771,214478.77
6622,,40.62136,-105.15596,p33,3,,48.4712530992869,0.8617663192539771,225179.6
8166,,39.498837,-105.06902,p33,4,,16.710869076680485,1.0073585236231968,514.18024
8170,,39.512672,-104.85663,p33,4,,98.17635582549784,1.0073585236231968,2008.6498
8359,,39.039272,-108.41655,p33,4,,1.8277513052619283,1.0073585236231968,2132.0273
7801,,39.74663,-105.03206000000002,p33,4,,7.833219879693978,1.0073585236231968,3413.4434
8167,,39.503487,-104.99824,p33,4,,28.46069889622145,1.0073585236231968,3688.893
7368,,40.028904,-105.21572,p33,4,,22.455230321789404,1.0073585236231968,3765.1636
7928,,39.69801,-105.025276,p33,4,,13.05536646615663,1.0073585236231968,3806.5476
8067,,39.61901,-104.728065,p33,4,,38.90499206914676,1.0073585236231968,4096.9688
7250,,40.22162,-103.65512,p33,4,,0.7833219879693978,1.0073585236231968,4207.4336
8165,,39.353947,-107.04671,p33,4,,14.099795783449162,1.0073585236231968,4720.9126
6617,,40.488514,-107.60677,p33,4,,11.488722490217835,1.0073585236231968,5031.625
7366,,40.024147,-105.28706,p33,4,,6.266575903755182,1.0073585236231968,5204.0815
7251,,40.2742,-103.589195,p33,4,,31.33287951877591,1.0073585236231968,5253.065
7925,,39.68865,-105.16727,p33,4,,7.572112550370845,1.0073585236231968,5312.113
8169,,39.5081,-104.92744,p33,4,,83.81545271272556,1.0073585236231968,5494.384
7510,,39.9317,-105.20182,p33,4,,21.671908333820006,1.0073585236231968,5640.297
7369,,40.082222,-105.15127,p33,4,,38.382777410500495,1.0073585236231968,5909.2017
7931,,39.702633,-104.95427,p33,4,,31.07177218945278,1.0073585236231968,6458.7847
7524,,39.963936,-104.702835,p33,4,,8.616541867663376,1.0073585236231968,6785.3228
7786,,39.543804,-107.72415,p33,4,,26.89405492028266,1.0073585236231968,6899.1274
7376,,40.052143,-104.85882,p33,4,,0.5222146586462652,1.0073585236231968,7187.059
7804,,39.75126,-104.961,p33,4,,24.0218742977282,1.0073585236231968,7338.5464
7793,,39.646416,-106.45105,p33,4,,0.2611073293231326,1.0073585236231968,7690.241999999999
