year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,trans_cap_cost,built_capacity,investment_bool
2018,765,,44.253525,-121.25785,p5,4,,9217.217,31.2,1
2018,14814,,31.879026,-106.42706,p59,7,,5988.484,5.0,1
2018,1527,,42.182365,-122.62987,p6,4,,645.1009,0.5184000000000001,0
2018,1712,,42.188034,-121.784225,p6,4,,2851.4126,4.381599999999999,1
2018,803,,44.745987,-117.87875,p7,3,,11777.316,2.692731753554502,0
2018,772,,44.79343,-117.89646,p7,3,,11844.818,3.3659146919431278,0
2018,916,,44.22686,-116.97883600000002,p7,3,,102972.23,4.841353554502362,0
2018,4022,,40.394806,-120.52324,p8,5,,53046.69,2.3999999999999986,1
2018,9438,,36.1821,-120.31208,p9,6,,12634.098999999998,0.2541543937708564,0
2018,9834,,35.4988,-120.69145,p9,6,,14603.573,9.657866963292548,0
2018,9792,,35.546326,-120.708725,p9,6,,21117.752,97.84944160177976,0
2018,9595,,36.004414000000004,-120.17831,p9,6,,23141.48,20.586505895439377,1
2018,9596,,35.956863,-120.16129,p9,6,,23286.225,0.2541543937708564,1
2018,9793,,35.606506,-120.66117,p9,6,,24231.508,32.357876751946606,1
2020,314,,47.053204,-120.51775,p1,3,,12552.883999999998,0.5,1
2020,11835,,33.965022999999995,-117.44759,p10,6,,2607.9307,10.59921713369329,0
2020,10148,,35.315983,-118.96942,p10,6,,2981.9246,10.346854820986309,0
2020,11719,,34.050117,-117.54101,p10,6,,3417.8198,22.20788351821452,0
2020,11721,,34.06122,-117.47704,p10,6,,3648.1838,0.7570869381209493,0
2020,11951,,33.84662,-117.5458,p10,6,,4142.2236,13.122840260763123,0
2020,13461,,32.744026,-114.70852,p10,6,,4473.7935,9.085043257451392,0
2020,10085,,35.42331,-118.93656,p10,6,,5035.5347,0.2523623127069831,0
2020,11730,,34.094326,-117.285034,p10,6,,5761.979,6.813782443088544,0
2020,11604,,34.098194,-117.55581,p10,6,,5860.029,7.570869381209493,0
2020,10922,,34.371902,-118.860855,p10,6,,6504.3164,0.2523623127069831,0
2020,11728,,34.035217,-117.334404,p10,6,,7758.694,130.4713156695103,0
2020,11215,,34.286587,-118.4939,p10,6,,7860.028,35.07836146627065,0
2020,11060,,34.287859999999995,-118.76543999999998,p10,6,,8083.753000000001,2.5236231270698317,0
2020,11718,,33.990902,-117.59013,p10,6,,8347.527,76.97050537562986,1
2020,11714,,34.038982,-117.60496,p10,6,,8356.905999999999,13.03696890565481,1
