"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"p4","p2","AC","spri","2042",2264.26732413288
"p4","p2","AC","spri","2044",2191.36431499735
"p4","p2","AC","spri","2046",4226.83636889429
"p4","p2","AC","spri","2048",2053.63246053376
"p4","p3","AC","summ","2022",1847.896
"p4","p3","AC","summ","2024",1847.896
"p4","p3","AC","summ","2026",1816.84062757375
"p4","p3","AC","summ","2028",1882.93912848719
"p4","p3","AC","summ","2030",1000.60924346294
"p4","p3","AC","summ","2032",461.472170977925
"p4","p3","AC","summ","2034",492.56843982647
"p4","p3","AC","summ","2038",45.4170459267317
"p4","p3","AC","summ","2044",188.337076217746
"p4","p3","AC","summ","2048",539.341452432324
"p4","p3","AC","summ","2050",508.011506066891
"p4","p3","AC","fall","2022",1847.896
"p4","p3","AC","fall","2024",1847.896
"p4","p3","AC","wint","2022",479.007103921461
"p4","p3","AC","wint","2024",1847.896
"p4","p3","AC","wint","2026",1881.72710677802
"p4","p3","AC","wint","2034",1985.21527350642
"p4","p3","AC","spri","2022",1847.896
"p4","p3","AC","spri","2024",1847.896
"p4","p3","AC","spri","2026",1881.72710677802
"p4","p3","AC","spri","2028",1882.93912848719
"p4","p3","AC","spri","2030",1907.56312411852
"p4","p3","AC","spri","2032",1931.91594096432
"p4","p3","AC","spri","2034",1053.68570680183
"p4","p3","AC","spri","2050",2161.7754749766
"p5","p2","AC","summ","2022",18687.9630092614
"p5","p2","AC","wint","2022",4077.37228053032
"p5","p2","AC","wint","2024",3257.54539360144
"p5","p2","AC","wint","2026",363.631180890654
"p5","p2","AC","wint","2028",145.928925278783
"p5","p2","AC","wint","2030",103.623266304215
"p5","p2","AC","wint","2032",259.025066441564
"p5","p2","AC","wint","2034",1992.49814054662
"p5","p2","AC","wint","2036",3504.66475301459
"p5","p2","AC","wint","2038",3650.68655769204
"p5","p2","AC","wint","2040",3120.551049174
"p5","p2","AC","wint","2042",1905.46361932488
"p5","p2","AC","wint","2044",1216.38611093166
"p5","p2","AC","spri","2028",173.832231297235
"p5","p2","AC","spri","2030",268.084032766406
"p5","p2","AC","spri","2036",3067.99775776437
"p5","p2","AC","spri","2038",2965.81002259347
"p5","p2","AC","spri","2040",1028.30841017917
"p5","p6","AC","summ","2022",3437.69004955857
"p5","p6","AC","summ","2024",5300.29315278059
"p5","p6","AC","summ","2026",5495.91588688946
"p5","p6","AC","summ","2028",5598.96601623956
"p5","p6","AC","summ","2030",4758.58036243997
"p5","p6","AC","summ","2032",3520.89334885871
"p5","p6","AC","summ","2034",2064.2685393226
"p5","p6","AC","summ","2036",1985.03765105498
"p5","p6","AC","summ","2038",1790.44420556896
"p5","p6","AC","summ","2040",1177.90636873903
"p5","p6","AC","summ","2042",2265.07035220556
"p5","p6","AC","summ","2044",2417.34175359281
"p5","p6","AC","summ","2046",4140.17788058048
"p5","p6","AC","summ","2048",7023.05300234412
"p5","p6","AC","summ","2050",7511.85492023864
"p5","p6","AC","fall","2022",3659.60657094386
"p5","p6","AC","fall","2024",5155.60200250907
"p5","p6","AC","fall","2026",4930.51373861183
"p5","p6","AC","fall","2028",5502.71973594637
